Rank 2014-15,Institution,Country,Teaching,Research,Citations,Ind. Income,Int. Outlook,Overall Score
90,GhentUniversity,Belgium,42.5,51.6,73.8,85.3,49.1,56.2
91,UniversityofMassachusetts,US,44.8,49.1,78.7,52.8,40.3,56.1
91,UniversityofPittsburgh,US,45.2,46.3,84.4,38.5,32.2,56.1
93,EmoryUniversity,US,49,32.4,89.5,42.3,42.9,55.5
94,UniversityofGlasgow,UK,37,40.5,83.7,39.9,78.8,55.3
94,McMasterUniversity,Canada,38.1,43.2,78.8,85,69.4,55.3
96,VanderbiltUniversity,US,46,38.2,87.7,59.4,28.3,55.2
97,UniversityofColoradoBoulder,US,35,38.3,97.4,0,39.1,55.1
98,StockholmUniversity,Sweden,30.1,45,90.9,32.4,53.2,54.6
98,TechnischeUniversitätMünchen,Germany,45.6,37.4,78.8,49,64,54.6
98,UppsalaUniversity,Sweden,40.2,53,70.9,39.6,57.5,54.6
101,MaastrichtUniversity,Netherlands,32.4,48.1,70.1,96.1,89.7,54.3
102,PurdueUniversity,US,47.8,50.5,62.2,0,64.3,54
103,UniversityofHelsinki,Finland,37.5,48.1,79,31.5,49.7,53.9
103,UniversitéPierreetMarieCurie,France,47.3,30,83.3,33.4,64.7,53.9
103,UniversityofWarwick,UK,41.1,45.8,68.2,35.6,85.7,53.9
103,UniversityofZurich,Switzerland,40.2,33.1,81.4,40.1,86.9,53.9
107,UniversityofGeneva,Switzerland,34.5,37.2,78.2,65.1,96.8,53.8
107,QueenMaryUniversityofLondon,UK,32.4,32.9,88.9,37.1,88.6,53.8
109,"UniversityofCalifornia,SantaCruz",US,30.6,31.9,100,33.8,54.6,53.7
109,UniversityofNewSouthWales,Australia,41.1,51.9,61.1,47.8,83.5,53.7
111,UniversityofStAndrews,UK,35.7,35.9,81.4,39.8,90.5,53.6
111,UniversityofSussex,UK,31.9,30.4,92.8,31.2,83.6,53.6
113,UniversityofMontreal,Canada,43.8,44.4,62.9,91.8,76.7,53.4
113,EberhardKarlsUniversitätTübingen,Germany,41.5,44.7,74,54.7,53,53.4
113,UniversityofYork,UK,32.2,33.8,90.5,32.2,75,53.4
116,CaseWesternReserveUniversity,US,46.5,37.4,82.9,0,34.4,53.2
117,UniversityofGroningen,Netherlands,36.9,50.8,68.1,88.9,56.1,53.1
118,"RoyalHolloway,UniversityofLondon",UK,29.1,22.4,98.9,32.8,94.4,53
119,LundUniversity,Sweden,32.6,48.5,74.9,32.6,70.1,52.9
120,UniversitéParis-Sud,France,37.3,33.1,87.7,28.9,62.7,52.8
121,UniversityofRochester,US,41.9,29.2,87.7,36.4,55.5,52.7
121,UniversityofSheffield,UK,40,39.1,74.3,43.8,74.8,52.7
121,TechnicalUniversityofDenmark,Denmark,39.9,28.2,79.6,98.6,79.7,52.7
124,UniversityofAlberta,Canada,43.8,47.1,61.8,51.8,73.4,52.6
124,UniversityofCapeTown,SouthAfrica,26.8,35.3,86.6,88,76.7,52.6
126,BostonCollege,US,32.4,29.1,95.9,46.5,54.6,52.5
126,UniversityofFlorida,US,49.8,52.1,62.2,0,32.2,52.5
126,KTHRoyalInstituteofTechnology,Sweden,45.7,44.8,55.1,100,84,52.5
129,ChineseUniversityofHongKong,HongKong,43.9,53.5,57.8,42.8,64,52.4
130,UniversityofVirginia,US,48.7,35.9,76.9,49.8,31.8,52.1
131,LancasterUniversity,UK,35.4,36.1,78,34.1,84.7,52
132,UniversityofBern,Switzerland,42,36.9,70.1,47.4,80.7,51.9
132,"UniversityofMaryland,CollegePark",US,36.5,39.1,83.6,33.2,44.8,51.9
132,UniversityofSouthampton,UK,35.2,34.1,79.7,38.9,82.4,51.9
135,TechnischeUniversitätDresden,Germany,39.8,42,70.8,99.5,44.7,51.6
136,UniversitédeLausanne,Switzerland,29.4,39.9,76.5,50.9,85.1,51.4
136,VUUniversityAmsterdam,Netherlands,35.5,43.2,74.9,60,50.6,51.4
138,TrinityCollegeDublin,Rep. of Ireland,39.4,30.3,77.6,30.6,83.9,51.2
139,BoğaziçiUniversity,Turkey,28.5,27.6,96.8,47.7,54.1,51.1
140,RadboudUniversityNijmegen,Netherlands,30.5,46.7,73.9,42.8,61.6,51
141,ColoradoSchoolofMines,US,26.1,26.7,97.1,79.4,52.6,50.9
141,TexasA&MUniversity,US,46.2,51.9,55.1,49.6,49.1,50.9
141,TokyoInstituteofTechnology,Japan,53.5,52.9,48.1,69.4,37,50.9
144,EindhovenUniversityofTechnology,Netherlands,38.3,47.1,57.3,99.9,69,50.5
144,"Rutgers,theStateUniversityofNewJersey",US,40.5,45.3,71,35.2,34.3,50.5
146,UniversityofLeeds,UK,39.4,39.1,69.3,39.4,67.6,50.4
147,BrandeisUniversity,US,25.8,29.1,95.3,43.9,54.7,50.3
148,UniversityofBirmingham,UK,42.8,39.8,62.7,36,75.8,50.2
148,SungkyunkwanUniversity(SKKU),SouthKorea,48.1,50.2,51.7,98.5,35.8,50.2
150,"UniversityofCalifornia,Riverside",US,29.4,27.5,91.5,39.5,61.6,50.1
150,IndianaUniversity,US,46.5,35.1,73.1,0,37.1,50.1
152,DartmouthCollege,US,38.3,35.4,80.4,49.1,33.1,50
153,AarhusUniversity,Denmark,30.9,47.5,66.5,59.8,66.3,49.9
154,UniversityofExeter,UK,32,32.7,78,35.8,79.8,49.7
155,NationalTaiwanUniversity,Taiwan,48.8,57.3,47.7,43.8,27.5,49.3
156,RWTHAachenUniversity,Germany,39,29.9,75,69.8,56.8,49.2
157,UniversityofLiverpool,UK,31.3,33.2,76.2,40,79.5,49.1
157,OsakaUniversity,Japan,51.3,48,51.1,73.6,29.1,49.1
157,UniversityofWesternAustralia,Australia,36.3,38.1,62.2,63.3,87.3,49.1
160,UniversityofCopenhagen,Denmark,34,34.4,73.5,44.4,71.8,49
160,ÉcoleNormaleSupérieuredeLyon,France,38.1,33.8,73,29.3,64.4,49
162,UniversityofUtah,US,38.8,36.5,75,58.1,27.5,48.6
163,Albert-Ludwigs-UniversitätFreiburg,Germany,38,28.1,74,81.4,56.7,48.3
164,UniversityofAdelaide,Australia,33.8,40.4,61.1,65.3,79.3,48.2
165,IstanbulTechnicalUniversity,Turkey,30.2,36.9,79.7,51.1,37.3,48.1
165,KarlsruheInstituteofTechnology,Germany,40.5,34.9,62.9,82.7,60.1,48.1
165,PompeuFabraUniversity,Spain,25.1,28.3,88.3,35.9,63.2,48.1
165,TohokuUniversity,Japan,49.7,47.3,49.6,76.8,29.7,48.1
169,UniversityofMiami,US,42.7,27.2,73.1,0,56.7,48
170,UniversityofAntwerp,Belgium,34.6,33.6,67.7,100,61,47.9
171,UniversitéCatholiquedeLouvain,Belgium,37.9,34.9,67.7,46.1,59.7,47.8
171,UniversityofNottingham,UK,39.9,35.8,62.7,39.6,70.6,47.8
173,GeorgetownUniversity,US,51.1,28.2,62.2,80,43.3,47.7
173,UniversityofVictoria,Canada,21.6,30.6,86.7,31.6,70.1,47.7
175,UniversityofAuckland,NewZealand,28.6,33.4,68.4,74.2,87.3,47.5
175,UniversityofIowa,US,41.9,33.5,71,49.3,31.7,47.5
177,SyracuseUniversity,US,32.4,24.4,87.1,40.6,41.2,47.3
178,UniversityofAberdeen,UK,28,30.2,74.3,42.1,84.1,47.1
178,"UniversitéJosephFourier,Grenoble",France,38,29.3,73,31.3,57.3,47.1
180,UniversityofDelaware,US,29,36.3,73.1,99.3,40.6,47
180,UniversitéParisDiderot-Paris7,France,25.6,19.7,92.2,29.1,67.4,47
182,ArizonaStateUniversity,US,35.7,37.5,73.1,32.6,29.5,46.9
182,SabancıUniversity,Turkey,26,27.1,88.5,42.9,44.6,46.9
182,UniversityofVienna,Austria,35.2,39.7,56.3,29.4,91,46.9
185,NortheasternUniversity,US,36.4,21.9,81.3,34,54.7,46.8
186,UniversityofOslo,Norway,36.1,35.2,66.3,36.6,60.3,46.7
186,YeshivaUniversity,US,45.2,23.9,77.8,0,27.6,46.7
188,UniversityofOttawa,Canada,37.9,34.7,62.9,45.9,63.2,46.6
188,StonyBrookUniversity,US,32.8,24.4,80.4,31.3,60.5,46.6
188,TelAvivUniversity,Israel,43.5,51.1,45.5,42.6,46.1,46.6
191,UniversityatBuffalo,US,40.1,39.8,57.5,39.6,57,46.5
192,CityUniversityofHongKong,HongKong,31,32.9,68.6,49.8,71.3,46.3
193,FudanUniversity,China,45.6,34,61,49.4,37.4,46.2
193,IowaStateUniversity,US,36.4,30.9,72,54.4,40.6,46.2
195,UniversitätBonn,Germany,32.2,22.2,83.8,0,54.8,46.1
196,LomonosovMoscowStateUniversity,Russian Fed.,55.9,42.1,33.8,78.5,60.4,46
196,"StGeorge’s,UniversityofLondon",UK,23.1,27.3,86.4,32.4,55.8,46
198,UniversityofEastAnglia,UK,25.2,22.6,83.7,29.2,76.5,45.9
199,UniversityofLeicester,UK,29.8,31.6,67.1,34.8,83.9,45.7
200,FloridaInstituteofTechnology,US,19.7,13.1,99.2,53.7,63,45.6
200,GeorgeWashingtonUniversity,US,44.6,25.1,70,29.3,39.9,45.6
